Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Whole Year ,Punjab,142000,9250000,479.3,14502460,36920,67.87176471
Whole Year ,Tamil Nadu,321173,32614900,481.3,32801398.49,83504.98,102.0107407
Whole Year ,Uttar Pradesh,2034883,117981573,849.9,207822600.8,529069.58,52.52608696
Whole Year ,Uttarakhand,118637,6958951,1541.3,12116396.81,30845.62,58.175
Whole Year ,Bihar,107270,4520510,1105.8,10155250.9,26817.5,39.25787879
Whole Year ,Chhattisgarh,3957,9967,1001.4,374609.19,989.25,2.751333333
Whole Year ,Gujarat,202900,14069000,458.4,19208543,50725,67.23714286
Whole Year ,Haryana,189010,10650000,353.9,17893576.7,47252.5,48.52888889
Whole Year ,Himachal Pradesh,2926,4649,890.8,277004.42,731.5,1.887142857
Whole Year ,Karnataka,382719,32485308,860.8,36232007.73,95679.75,83.89230769
Whole Year ,Madhya Pradesh,39073,1560420,800.8,3699040.91,9768.25,28.415
Whole Year ,Maharashtra,573100,42617000,967.4,54255377,143275,65.24666667
Whole Year ,Meghalaya,80,219,4355.3,7573.6,20,2.37
Whole Year ,Mizoram,1370,7443,2627,129697.9,342.5,6.4075
Whole Year ,Nagaland,2000,80000,1536.6,189340,500,55.63166667
Whole Year ,Odisha,14177,753194,1102.8,1342136.59,3544.25,52.07642857
Whole Year ,Punjab,153000,9110000,301.8,14484510,38250,58.85235294
Whole Year ,Uttarakhand,122453,7362658,1610.3,11592625.51,30613.25,58.185
Whole Year ,Bihar,103100,4285888,1353.9,10204838,24744,39.12181818
Whole Year ,Chhattisgarh,5148,13290,1643.7,509549.04,1235.52,2.842666667
Whole Year ,Delhi,4,293,962.3,395.92,0.96,73.25
Whole Year ,Gujarat,176200,12669000,902.5,17440276,42288,71.59666667
Whole Year ,Haryana,160257,9280000,592.3,15862237.86,38461.68,50.10277778
Whole Year ,Jharkhand,338.45,966,1258.3,33499.781,81.228,2.85
Whole Year ,Madhya Pradesh,43141,1870120,1163,4270096.18,10353.84,31.46604167
Whole Year ,Maharashtra,442500,25668400,1037.4,43798650,106200,56.65814815
Whole Year ,Manipur,330,10780,687.7,32663.4,79.2,32.71
Whole Year ,Mizoram,1393,36174,2499.5,137879.14,334.32,25.87
Whole Year ,Nagaland,2800,128890,1709.8,277144,672,37.28166667
Whole Year ,Odisha,14565,858096,1648.2,1441643.7,3495.6,54.54655172
Whole Year ,Punjab,123000,6620000,451.7,12174540,29520,54.72
Whole Year ,Uttar Pradesh,2110126,117566725,1075.6,208860271.5,506430.24,48.92214286
Whole Year ,Uttarakhand,116877,7023220,1734.3,11568485.46,28050.48,58.12
Whole Year ,Andhra Pradesh,209536,15739172,781.8,22701130.24,44002.56,77.12619048
Whole Year ,Assam,23942,883925,2536.9,2593876.28,5027.82,37.40956522
Whole Year ,Bihar,104189,4111722,1147.8,11287836.26,21879.69,36.05151515
Whole Year ,Chhattisgarh,6770,16450,1122.8,733461.8,1421.7,2.764
Whole Year ,Delhi,4,301,651.9,433.36,0.84,75.25
Whole Year ,Gujarat,196600,14558000,719.8,21299644,41286,71.64636364
Whole Year ,Haryana,133042,8230000,484.6,14413770.28,27938.82,49.24888889
Whole Year ,Madhya Pradesh,41925,1794420,895.7,4542154.5,8804.25,30.82
Whole Year ,Maharashtra,326900,23913700,1052,35416346,68649,64.51
Rabi       ,Nagaland,210,3350,1711.5,22751.4,44.1,15.95
Whole Year ,Nagaland,2770,138750,1711.5,300101.8,581.7,33.995
Whole Year ,Punjab,86000,5170000,366.4,9317240,18060,60.966
Whole Year ,Tripura,1030,50413,2706.3,111590.2,216.3,48.8525
Whole Year ,Uttarakhand,106267,6358655,1219.6,11512966.78,22316.07,58.47166667
Whole Year ,Jharkhand,542.97,13958,1149.2,58825.3698,114.0237,25.71
Whole Year ,West Bengal,15647,1033235,1612.9,1695195.98,3285.87,64.3
Whole Year ,Bihar,101243,4240463,907.8,12141060.56,21261.03,36.43151515
Whole Year ,Chhattisgarh,7422,18562,1292.7,890046.24,1558.62,2.86125
Whole Year ,Delhi,4,225,653.1,479.68,0.84,56.25
Whole Year ,Gujarat,213200,17786000,942.4,25566944,44772,75.31714286
Whole Year ,Haryana,129223,8310000,516.9,15496422.16,27136.83,49.81526316
Whole Year ,Himachal Pradesh,2589,25094,1248.1,310472.88,543.69,6.542857143
Whole Year ,Madhya Pradesh,51620,2236980,1032.7,6190270.4,10840.2,31.52155556
Whole Year ,Maharashtra,500700,38813700,1387.2,60043944,105147,66.29923077
Whole Year ,Mizoram,1383,45953,2075.4,165849.36,290.43,18.325
Rabi       ,Nagaland,270,3380,1568.6,32378.4,56.7,12.52
Whole Year ,Nagaland,4150,207500,1568.6,497668,871.5,37.27
Whole Year ,Punjab,85000,5241000,566.7,10193200,17850,64.525
Whole Year ,Tripura,874,43334,1765.9,104810.08,183.54,48.79
Whole Year ,Uttarakhand,107748,6635715,1353.3,12921140.16,22627.08,61.53333333
Whole Year ,Jharkhand,130.68,538,965.2,15671.1456,27.4428,4.12
Whole Year ,Chhattisgarh,7991,20316,1317.2,1020530.61,1758.02,2.463125
Whole Year ,Delhi,4,301,462.7,510.84,0.88,75.25
Whole Year ,Gujarat,216100,16554000,1056.2,27598131,47542,71.79642857
Whole Year ,Haryana,140563,9651000,329.3,17951300.73,30923.86,56.0355
Whole Year ,Himachal Pradesh,3019,59184,1207,385556.49,664.18,13.465
Whole Year ,Madhya Pradesh,61085,2692260,1072.3,7801165.35,13438.7,31.35595745
Whole Year ,Maharashtra,848800,66277400,1439.4,108400248,186736,70.67444444
Rabi       ,Nagaland,290,4850,1362.5,37035.9,63.8,16.72
Whole Year ,Nagaland,4500,229000,1362.5,574695,990,48.145
Whole Year ,Tripura,869,42373,1764.3,110979.99,191.18,49.18
Kharif     ,Uttar Pradesh,2246520,133949379,590.5,286903069.2,494234.4,51.90457143
Whole Year ,Uttarakhand,118869,7267238,1178.9,15180759.99,26151.18,61.44
Whole Year ,Jharkhand,587.89,26102,1465.1,75079.4319,129.3358,38.04833333
Whole Year ,Andhra Pradesh,247000,20182000,1004.2,32949800,39520,83.4125
Whole Year ,Bihar,107039,4027229,1600.2,14279002.6,17126.24,33.2446875
Whole Year ,Chhattisgarh,10966,27254,1246.2,1462864.4,1754.56,3.015
Whole Year ,Gujarat,211000,15190000,1021.6,28147400,33760,71.189375
Whole Year ,Haryana,140365,8850000,443.8,18724691,22458.4,50.77
Kharif     ,Himachal Pradesh,2697,58442,1095.4,359779.8,431.52,13.81285714
Whole Year ,Madhya Pradesh,77120,3276720,740.4,10287808,12339.2,30.21326087
Whole Year ,Maharashtra,1092800,88437200,1257.2,145779520,174848,74.23888889
Whole Year ,Meghalaya,92,252,4702,12272.8,14.72,2.344
Kharif     ,Nagaland,4000,220320,1769,533600,640,55.075
Whole Year ,Tripura,959,46678,2831.8,127930.6,153.44,49.0375
Kharif     ,Uttar Pradesh,2178987,124665288,672.9,290676865.8,348637.92,49.74928571
Whole Year ,Uttarakhand,122533,7594553,1924.3,16345902.2,19605.28,62.12857143
Whole Year ,Jharkhand,966.83,40610,1444.7,128975.122,154.6928,42.17714286
Whole Year ,Bihar,111902,4959918,1197.7,16006462.08,10071.18,38.28870968
Whole Year ,Chhattisgarh,9034,22230,1117.9,1292223.36,813.06,2.77875
Whole Year ,Gujarat,221300,15512000,746.1,31654752,19917,70.62176471
Whole Year ,Haryana,90941,5242000,715.6,13008200.64,8184.69,49.621
