Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rabi       ,Karnataka,261275,217613,1203.8,27729115.75,70544.25,0.880555556
Rabi       ,Madhya Pradesh,4661524,8685197,1222.9,494727542.1,1258611.48,1.877777778
Rabi       ,Maharashtra,1041800,1425900,1166.5,110566234,281286,1.299655172
Rabi       ,Odisha,18540,24850,1484.3,1967650.2,5005.8,1.351333333
Rabi       ,Punjab,3388000,15910000,364.4,359568440,914760,4.651764706
Rabi       ,Uttar Pradesh,9381878,26050768,883.4,995698712.1,2533107.06,2.636419753
Rabi       ,Bihar,2067333,4437958,1207,202950080.6,537506.58,2.073513514
Rabi       ,Chhattisgarh,77844,79488,896.4,7641945.48,20239.44,1.214375
Rabi       ,Gujarat,286100,649000,379.7,28086437,74386,2.346842105
Rabi       ,Haryana,2354779,9669000,383.7,231168654.4,612242.54,3.990526316
Rabi       ,Himachal Pradesh,362660,261319,1068.4,35602332.2,94291.6,0.803333333
Rabi       ,Madhya Pradesh,3299120,4861992,723.3,323874610.4,857771.2,1.499333333
Rabi       ,Maharashtra,754200,947600,1057.8,74039814,196092,1.197
Rabi       ,Nagaland,5000,10000,1631.8,490850,1300,2.0675
Rabi       ,Odisha,8819,12904,1066,865761.23,2292.94,1.201538462
Rabi       ,Punjab,3408000,15551000,405.3,334563360,886080,4.503529412
Rabi       ,Uttar Pradesh,9239311,25168332,874.4,907023160.9,2402220.86,2.68057971
Rabi       ,Uttarakhand,377340,711036,1413.4,37043467.8,98108.4,1.550769231
Rabi       ,Bihar,2181543,4499130,1247,222800986.6,567201.18,1.977567568
Rabi       ,Chhattisgarh,97861,103480,1550,9994543.93,25443.86,1.195
Rabi       ,Gujarat,470100,1144700,666.5,48011313,122226,2.474736842
Rabi       ,Haryana,2299876,9437000,483.8,234886335.9,597967.76,3.979473684
Rabi       ,Himachal Pradesh,366518,637068,918.1,37432483.34,95294.68,1.72
Rabi       ,Madhya Pradesh,3691707,5993596,955,377034035.9,959843.82,1.654888889
Rabi       ,Maharashtra,776000,1077400,1035.8,79252880,201760,1.313793103
Rabi       ,Nagaland,6000,12350,1532,612780,1560,2.04
